first,last,ASG,GG,BBWAA,From,To,Seasons,Ages,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
Rickey,Henderson,10,,1,1979,2003,25,20-44,3081,13346,10961,2295,3055,510,66,297,1115,2190,61,1694,98,30,67,172,1406,335,0.279,0.401,0.419,0.82
Cal,Ripken,19,,1,1981,2001,21,20-40,3001,12883,11551,1647,3184,603,44,431,1695,1129,107,1305,66,10,127,350,36,39,0.276,0.34,0.447,0.787
Tony,Gwynn,15,,1,1982,2001,20,22-41,2440,10232,9288,1383,3141,543,85,135,1138,790,203,434,24,45,85,260,319,125,0.338,0.388,0.459,0.847
Wade,Boggs,11,,1,1982,1999,18,24-41,2440,10740,9180,1513,3010,578,61,118,1014,1412,180,745,23,29,96,236,24,35,0.328,0.415,0.443,0.858
Paul,Molitor,7,,1,1978,1998,21,21-41,2683,12160,10835,1782,3319,605,114,234,1307,1094,100,1244,47,75,109,209,504,131,0.306,0.369,0.448,0.817
Eddie,Murray,8,,1,1977,1997,21,21-41,3026,12817,11336,1627,3255,560,35,504,1917,1333,222,1516,18,2,128,316,110,43,0.287,0.359,0.476,0.835
Ryne,Sandberg,10,,1,1981,1997,17,21-37,2164,9282,8385,1318,2386,403,76,282,1061,761,59,1260,34,31,71,139,344,107,0.285,0.344,0.452,0.796
Ozzie,Smith,15,,1,1978,1996,19,23-41,2573,10778,9396,1257,2460,402,69,28,793,1072,79,589,33,214,63,167,580,148,0.262,0.337,0.328,0.665
Dave,Winfield,12,,1,1973,1995,23,21-43,2973,12358,11003,1669,3110,540,88,465,1833,1216,172,1686,25,19,95,319,223,96,0.283,0.353,0.475,0.828
Kirby,Puckett,10,,1,1984,1995,12,24-35,1783,7831,7244,1071,2304,414,57,207,1085,450,85,965,56,23,58,188,134,76,0.318,0.36,0.477,0.837
Robin,Yount,3,,1,1974,1993,20,18-37,2856,12249,11008,1632,3142,583,126,251,1406,966,95,1350,48,104,123,217,271,105,0.285,0.342,0.43,0.772
George,Brett,12,,1,1973,1993,21,20-40,2707,11624,10349,1583,3154,665,137,317,1595,1096,229,908,33,26,120,235,201,97,0.305,0.369,0.487,0.856
Carlton,Fisk,11,,1,1969,1993,25,21-45,2499,9853,8756,1276,2356,421,47,376,1330,849,105,1386,143,26,79,204,128,58,0.269,0.341,0.457,0.798
Gary,Carter,11,,1,1974,1992,19,20-38,2295,9019,7971,1025,2092,371,31,324,1225,848,106,997,68,33,99,180,39,42,0.262,0.335,0.439,0.774
Mike,Schmidt,12,,1,1972,1989,18,22-39,2404,10062,8352,1506,2234,408,59,548,1595,1507,201,1883,79,16,108,156,174,92,0.267,0.38,0.527,0.907
Jim,Rice,8,,1,1974,1989,16,21-36,2089,9058,8225,1249,2452,373,79,382,1451,670,77,1423,64,5,94,315,58,34,0.298,0.352,0.502,0.854
Reggie,Jackson,14,,1,1967,1987,21,21-41,2820,11416,9864,1551,2584,463,49,563,1702,1375,164,2597,96,13,68,183,228,115,0.262,0.356,0.49,0.846
Tony,Perez,7,,1,1964,1986,23,22-44,2777,10861,9778,1272,2732,505,79,379,1652,925,150,1867,43,9,106,268,49,33,0.279,0.341,0.463,0.804
Rod,Carew,18,,1,1967,1985,19,21-39,2469,10550,9315,1424,3053,445,112,92,1015,1018,144,1028,25,128,64,216,353,187,0.328,0.393,0.429,0.822
Joe,Morgan,10,,1,1963,1984,22,19-40,2649,11329,9277,1650,2517,449,96,268,1133,1865,76,1015,40,51,96,105,689,162,0.271,0.392,0.427,0.819
Carl,Yastrzemski,18,,1,1961,1983,23,21-43,3308,13991,11988,1816,3419,646,59,452,1844,1845,190,1393,40,13,105,323,168,116,0.285,0.379,0.462,0.841
Johnny,Bench,14,,1,1967,1983,17,19-35,2158,8669,7658,1091,2048,381,24,389,1376,891,135,1278,19,11,90,201,68,43,0.267,0.342,0.476,0.818
Willie,Stargell,7,,1,1962,1982,21,22-42,2360,9026,7927,1195,2232,423,55,475,1540,937,227,1936,78,9,75,143,17,16,0.282,0.36,0.529,0.889
Willie,McCovey,6,,1,1959,1980,22,21-42,2588,9686,8197,1229,2211,353,46,521,1555,1345,260,1550,69,5,70,176,26,22,0.27,0.374,0.515,0.889
Lou,Brock,6,,1,1961,1979,19,22-40,2616,11235,10332,1610,3023,486,141,149,900,761,124,1730,49,47,46,114,938,307,0.293,0.343,0.41,0.753
Brooks,Robinson,18,,1,1955,1977,23,18-40,2896,11782,10654,1232,2848,482,68,268,1357,860,120,990,53,101,114,297,28,22,0.267,0.322,0.401,0.723
Hank,Aaron,26,,1,1954,1976,23,20-42,3298,13940,12364,2174,3771,624,98,755,2297,1402,293,1383,32,21,121,328,240,73,0.305,0.374,0.555,0.929
Frank,Robinson,14,,1,1956,1976,21,20-40,2808,11743,10006,1829,2943,528,72,586,1812,1420,218,1532,198,17,102,269,204,77,0.294,0.389,0.537,0.926
Billy,Williams,6,,1,1959,1976,18,21-38,2488,10519,9350,1410,2711,434,88,426,1475,1045,182,1046,43,8,73,200,90,49,0.29,0.361,0.492,0.853
Harmon,Killebrew,13,,1,1954,1975,22,18-39,2435,9831,8147,1283,2086,290,24,573,1584,1559,160,1699,48,0,77,243,19,18,0.256,0.376,0.509,0.885
Al,Kaline,18,,1,1953,1974,22,18-39,2834,11597,10116,1622,3007,498,75,399,1583,1277,131,1020,55,45,104,271,137,65,0.297,0.376,0.48,0.856
Willie,Mays,24,,1,1951,1973,23,20-42,2992,12493,10881,2062,3283,523,140,660,1903,1464,192,1526,44,13,91,251,338,103,0.302,0.384,0.557,0.941
Luis,Aparicio,13,,1,1956,1973,18,22-39,2601,11230,10230,1335,2677,394,92,83,791,736,22,742,27,161,76,184,506,136,0.262,0.311,0.343,0.654
Roberto,Clemente,15,,1,1955,1972,18,20-37,2433,10212,9454,1416,3000,440,166,240,1305,621,167,1230,35,36,66,275,83,46,0.317,0.359,0.475,0.834
Ernie,Banks,14,,1,1953,1971,19,22-40,2528,10395,9421,1305,2583,407,90,512,1636,763,198,1236,70,45,96,229,50,53,0.274,0.33,0.5,0.83
Eddie,Mathews,12,,1,1952,1968,17,20-36,2391,10101,8537,1509,2315,354,72,512,1453,1444,107,1487,26,36,58,123,68,39,0.271,0.376,0.509,0.885
Mickey,Mantle,20,,1,1951,1968,18,19-36,2401,9909,8102,1677,2415,344,72,536,1509,1733,126,1710,13,14,47,113,153,38,0.298,0.421,0.557,0.978
Yogi,Berra,18,,1,1946,1965,20,21-40,2120,8364,7555,1175,2150,321,49,358,1430,704,49,414,52,9,44,146,30,26,0.285,0.348,0.482,0.83
Duke,Snider,8,,1,1947,1964,18,20-37,2143,8237,7161,1259,2116,358,85,407,1333,971,104,1237,21,52,32,166,99,50,0.295,0.38,0.54,0.92
Stan,Musial,24,,1,1941,1963,23,20-42,3026,12712,10972,1949,3630,725,177,475,1951,1599,127,696,53,35,53,243,78,31,0.331,0.417,0.559,0.976
Ted,Williams,19,,1,1939,1960,22,20-41,2292,9791,7706,1798,2654,525,71,521,1839,2021,86,709,39,5,20,197,24,17,0.344,0.482,0.634,1.116
Roy,Campanella,8,,1,1948,1957,10,26-35,1215,4816,4205,627,1161,178,18,242,856,533,30,501,30,30,18,143,25,15,0.276,0.36,0.5,0.86
Jackie,Robinson,6,,1,1947,1956,10,28-37,1382,5802,4877,947,1518,273,54,137,734,740,7,291,72,104,9,113,197,30,0.311,0.409,0.474,0.883
Ralph,Kiner,6,,1,1946,1955,10,23-32,1472,6256,5205,971,1451,216,39,369,1015,1011,1,749,24,9,7,126,22,2,0.279,0.398,0.548,0.946
Lou,Boudreau,7,,1,1938,1952,15,20-34,1646,7023,6029,861,1779,385,66,68,789,796,0,309,34,164,0,155,51,50,0.295,0.38,0.415,0.795
Joe,DiMaggio,13,,1,1936,1951,16,21-36,1736,7671,6821,1390,2214,389,131,361,1537,790,0,369,46,14,0,130,30,9,0.325,0.398,0.579,0.977
Luke,Appling,7,,1,1930,1950,21,23-43,2422,10243,8856,1319,2749,440,102,45,1116,1302,0,528,11,74,0,129,179,108,0.31,0.399,0.398,0.797
Darrell,Evans,2,,0,1969,1989,21,22-42,2687,10737,8973,1344,2223,329,36,414,1354,1605,141,1410,35,34,90,133,98,68,0.248,0.361,0.431,0.792
Buddy,Bell,5,,0,1972,1989,18,20-37,2405,10009,8995,1151,2514,425,56,201,1106,836,84,776,38,60,80,255,55,79,0.279,0.341,0.406,0.747
Chris,Speier,3,,0,1971,1989,19,21-39,2260,8155,7156,770,1759,302,50,112,720,847,106,988,35,73,44,183,42,54,0.246,0.327,0.349,0.676
Jim,Sundberg,3,,0,1974,1989,16,23-38,1962,6898,6021,621,1493,243,36,95,624,699,31,963,22,118,38,159,20,37,0.248,0.327,0.348,0.675
Manny,Trillo,4,,0,1973,1989,17,22-38,1780,6573,5950,598,1562,239,33,61,571,452,35,742,34,88,49,143,56,57,0.263,0.316,0.345,0.661
Tony,Armas,2,,0,1976,1989,14,22-35,1432,5502,5164,614,1302,204,39,251,815,260,37,1201,15,11,52,149,18,20,0.252,0.287,0.453,0.74
Dwayne,Murphy,0,,0,1978,1989,12,23-34,1360,5242,4347,648,1069,139,20,166,609,747,39,953,19,84,45,92,100,61,0.246,0.356,0.402,0.758
Glenn,Hubbard,1,,0,1978,1989,12,20-31,1354,5122,4441,545,1084,214,22,70,448,539,53,640,33,70,39,83,35,35,0.244,0.328,0.349,0.677
Keith,Moreland,0,,0,1978,1989,12,24-35,1306,5082,4581,511,1279,214,14,121,674,405,56,515,13,18,65,140,28,33,0.279,0.335,0.411,0.746
Craig,Reynolds,2,,0,1975,1989,15,22-36,1491,4863,4466,480,1142,143,65,42,377,227,34,406,9,124,37,49,58,32,0.256,0.291,0.345,0.636
Lee,Mazzilli,1,,0,1976,1989,14,21-34,1475,4831,4124,571,1068,191,24,93,460,642,41,627,20,12,33,63,197,90,0.259,0.359,0.385,0.744
Alan,Ashby,0,,0,1973,1989,17,21-37,1370,4691,4123,397,1010,183,13,90,513,461,66,622,11,55,41,125,7,10,0.245,0.32,0.361,0.681
Greg,Gross,0,,0,1973,1989,17,20-36,1809,4355,3745,449,1073,130,46,7,308,523,51,250,8,40,39,90,39,44,0.287,0.372,0.351,0.723
Damaso,Garcia,2,,0,1978,1989,12,23-34,1032,4124,3914,490,1108,183,27,36,323,130,11,322,27,29,24,81,203,90,0.283,0.309,0.371,0.68
Joel,Youngblood,1,,0,1976,1989,14,24-37,1408,4078,3659,453,969,180,23,80,422,332,30,589,36,18,33,80,60,55,0.265,0.329,0.392,0.721
Leon,Durham,2,,0,1980,1989,10,22-31,1067,4067,3587,522,992,192,40,147,530,444,96,679,9,3,24,49,106,61,0.277,0.356,0.475,0.831
Bo,Diaz,2,,0,1977,1989,13,24-36,993,3537,3274,327,834,162,5,87,452,198,22,429,13,24,28,113,9,17,0.255,0.297,0.387,0.684
Mike,Davis,0,,0,1980,1989,10,21-30,963,3298,2999,419,778,161,16,91,371,236,19,537,10,24,29,55,134,56,0.259,0.313,0.415,0.728
Bruce,Benedict,2,,0,1978,1989,12,22-33,982,3289,2878,214,696,98,6,18,260,328,52,251,13,49,21,76,12,20,0.242,0.32,0.299,0.619
Tim,Flannery,0,,0,1979,1989,11,21-31,972,2838,2473,255,631,77,25,9,209,277,35,293,32,32,24,43,22,22,0.255,0.335,0.317,0.652
Bob,Dernier,0,,0,1980,1989,10,23-32,904,2757,2483,374,634,92,16,23,152,222,2,301,8,36,8,34,218,63,0.255,0.318,0.333,0.651
Glenn,Hoffman,0,,0,1980,1989,10,21-30,766,2383,2163,247,524,106,9,23,210,136,9,309,20,50,14,52,5,16,0.242,0.291,0.331,0.622
Jerry,Hairston,0,,0,1973,1989,17,21-37,859,2023,1699,216,438,91,6,30,205,282,18,240,8,13,21,35,4,5,0.258,0.362,0.371,0.733
Graig,Nettles,6,,0,1967,1988,22,22-43,2700,10226,8986,1193,2225,328,28,390,1314,1088,94,1209,50,12,90,197,32,36,0.248,0.329,0.421,0.75
Ted,Simmons,8,,0,1968,1988,21,18-38,2456,9685,8680,1074,2472,483,47,248,1389,855,188,694,39,11,100,287,21,33,0.285,0.348,0.437,0.785
Dave,Concepcion,9,,0,1970,1988,19,22-40,2488,9640,8723,993,2326,389,48,101,950,736,93,1186,21,74,86,266,321,109,0.267,0.322,0.357,0.679
Don,Baylor,1,,0,1970,1988,19,21-39,2292,9401,8198,1236,2135,366,28,338,1276,805,91,1069,267,16,115,196,285,120,0.26,0.342,0.436,0.778
Jose,Cruz,2,,0,1970,1988,19,22-40,2353,8931,7917,1036,2251,391,94,165,1077,898,142,1031,7,27,82,119,317,136,0.284,0.354,0.42,0.774
Chris,Chambliss,1,,0,1971,1988,18,22-39,2175,8305,7571,912,2109,392,42,185,972,632,99,926,27,19,56,166,40,35,0.279,0.334,0.415,0.749
George,Hendrick,4,,0,1971,1988,18,21-38,2048,7825,7129,941,1980,343,27,267,1111,567,77,1013,22,21,86,211,59,47,0.278,0.329,0.446,0.775
Larry,Parrish,2,,0,1974,1988,15,20-34,1891,7450,6792,850,1789,360,33,256,992,529,79,1359,42,31,56,187,30,36,0.263,0.318,0.439,0.757
Phil,Garner,3,,0,1973,1988,16,24-39,1860,6860,6136,780,1594,299,82,109,738,564,74,842,34,67,59,131,225,105,0.26,0.323,0.389,0.712
Jerry,Mumphrey,1,,0,1974,1988,15,21-35,1585,5545,4993,660,1442,217,55,70,575,478,49,688,4,29,41,108,174,80,0.289,0.349,0.396,0.745
Larry,Herndon,0,,0,1974,1988,15,20-34,1537,5316,4877,605,1334,186,76,107,550,353,24,793,16,32,38,125,92,57,0.274,0.322,0.409,0.731
Ray,Knight,2,,0,1974,1988,15,21-35,1495,5291,4829,490,1311,266,27,84,595,343,43,579,36,22,61,169,14,25,0.271,0.321,0.39,0.711
Ivan,DeJesus,0,,0,1974,1988,15,21-35,1371,5193,4602,595,1167,175,48,21,324,466,48,664,16,87,22,65,194,88,0.254,0.323,0.326,0.649
Juan,Beniquez,0,,0,1971,1988,18,21-38,1500,5150,4651,610,1274,190,30,79,476,349,11,551,31,87,32,145,104,76,0.274,0.327,0.379,0.706
Butch,Wynegar,2,,0,1976,1988,13,20-32,1301,5067,4330,498,1102,176,15,65,506,626,41,428,17,58,36,119,10,13,0.255,0.348,0.347,0.695
Willie,Upshaw,0,,0,1978,1988,11,21-31,1264,4736,4203,596,1103,199,45,123,528,452,50,642,23,30,28,60,88,59,0.262,0.335,0.419,0.754
Jerry,Royster,0,,0,1973,1988,16,20-35,1428,4732,4208,552,1049,165,33,40,352,411,20,534,11,69,33,90,189,95,0.249,0.315,0.333,0.648
Steve,Kemp,1,,0,1977,1988,12,22-33,1168,4714,4058,581,1128,179,25,130,634,576,25,605,19,13,48,114,39,24,0.278,0.367,0.431,0.798
Bob,Horner,1,,0,1978,1988,11,20-30,1020,4213,3777,560,1047,169,8,218,685,369,39,512,16,1,50,111,14,18,0.277,0.34,0.499,0.839
Steve,Henderson,0,,0,1977,1988,12,24-35,1085,3916,3484,459,976,162,49,68,428,386,32,677,13,11,22,108,79,58,0.28,0.352,0.413,0.765
Jim,Morrison,0,,0,1977,1988,12,24-35,1089,3695,3375,371,876,170,16,112,435,213,15,521,25,43,39,77,50,37,0.26,0.305,0.419,0.724
Bill,Almon,0,,0,1974,1988,15,21-35,1236,3659,3330,390,846,138,25,36,296,250,24,636,6,44,29,53,128,60,0.254,0.305,0.343,0.648
Gary,Roenicke,0,,0,1976,1988,13,21-33,1064,3204,2708,367,670,135,4,121,410,406,16,428,41,23,26,77,16,20,0.247,0.351,0.434,0.785
Steve,Garvey,10,,0,1969,1987,19,20-38,2332,9466,8835,1143,2599,440,43,272,1308,479,113,1003,29,33,90,251,83,62,0.294,0.329,0.446,0.775
Ron,Cey,6,,0,1971,1987,17,23-39,2073,8344,7162,977,1868,328,21,316,1139,1012,117,1235,62,26,82,185,24,29,0.261,0.354,0.445,0.799
Gary,Matthews,0,,0,1972,1987,16,21-36,2033,8189,7147,1083,2011,319,51,234,978,940,46,1125,21,19,62,179,183,74,0.281,0.364,0.439,0.803
Hal,McRae,3,,0,1968,1987,20,22-41,2084,8058,7218,940,2091,484,66,191,1097,648,69,779,79,28,85,186,109,78,0.29,0.351,0.454,0.805
Cecil,Cooper,5,,0,1971,1987,17,21-37,1896,7939,7349,1012,2192,415,47,241,1125,448,79,911,17,46,79,150,89,49,0.298,0.337,0.466,0.803
Bill,Madlock,4,,0,1973,1987,15,22-36,1806,7372,6594,920,2008,348,34,163,860,605,121,510,68,36,69,190,174,90,0.305,0.365,0.442,0.807
Davey,Lopes,5,,0,1972,1987,16,27-42,1812,7340,6354,1023,1671,232,50,155,614,833,38,852,31,74,48,126,557,114,0.263,0.349,0.388,0.737
Roy,Smalley,1,,0,1975,1987,13,22-34,1653,6594,5657,745,1454,244,25,163,694,771,47,908,14,98,54,121,27,34,0.257,0.345,0.395,0.74
Darrell,Porter,4,,0,1971,1987,17,19-35,1782,6570,5539,765,1369,237,48,188,826,905,106,1025,45,18,63,102,39,37,0.247,0.354,0.409,0.763
Doug,DeCinces,1,,0,1973,1987,15,22-36,1649,6534,5809,778,1505,312,29,237,879,618,57,904,21,22,64,177,58,48,0.259,0.329,0.445,0.774
Jorge,Orta,2,,0,1972,1987,16,21-36,1755,6458,5829,733,1619,267,63,130,745,500,46,715,29,33,67,125,79,60,0.278,0.334,0.412,0.746
Dan,Driessen,0,,0,1973,1987,15,21-35,1732,6344,5479,746,1464,282,23,153,763,761,100,719,28,11,65,128,154,63,0.267,0.356,0.411,0.767
Andre,Thornton,0,,0,1973,1987,15,23-37,1565,6293,5291,792,1342,244,22,253,895,876,69,851,41,14,71,129,48,37,0.254,0.36,0.452,0.812
Rick,Manning,0,,0,1975,1987,13,20-32,1555,5832,5248,664,1349,189,43,56,458,471,33,616,9,61,43,104,168,78,0.257,0.317,0.341,0.658
Rick,Burleson,4,,0,1974,1987,14,23-36,1346,5717,5139,656,1401,256,23,50,449,420,11,477,28,84,46,138,72,68,0.273,0.328,0.361,0.689
Ruppert,Jones,2,,0,1976,1987,12,21-32,1331,5038,4415,643,1103,215,38,147,579,534,38,817,12,43,34,87,143,84,0.25,0.33,0.416,0.746
Lee,Lacy,0,,0,1972,1987,16,24-39,1523,5004,4549,650,1303,207,42,91,458,372,26,657,9,41,33,86,185,86,0.286,0.339,0.41,0.749
Johnny,Grubb,1,,0,1972,1987,16,23-38,1424,4823,4154,553,1153,207,29,99,475,566,41,558,36,32,35,74,27,33,0.278,0.366,0.413,0.779
Ken,Landreaux,1,,0,1977,1987,11,22-32,1264,4503,4101,522,1099,180,45,91,479,299,33,421,19,39,45,78,145,60,0.268,0.317,0.4,0.717
Charlie,Moore,0,,0,1973,1987,15,20-34,1334,4482,4033,456,1052,187,43,36,408,346,12,470,11,71,21,104,51,57,0.261,0.319,0.355,0.674
Tom,Paciorek,1,,0,1970,1987,18,23-40,1392,4465,4121,494,1162,232,30,86,503,245,25,704,38,22,39,92,55,38,0.282,0.325,0.415,0.74
Mike,Easler,1,,0,1973,1987,15,22-36,1151,4061,3677,465,1078,189,25,118,522,321,46,696,17,6,40,85,20,26,0.293,0.349,0.454,0.803
Johnnie,LeMaster,0,,0,1975,1987,13,21-33,1039,3515,3191,320,709,109,19,22,229,241,37,564,7,57,19,52,94,51,0.222,0.277,0.289,0.566
UL,Washington,0,,0,1977,1987,11,23-33,907,3124,2797,358,703,103,36,27,255,261,6,409,1,44,21,33,132,53,0.251,0.313,0.343,0.656
Rob,Wilfong,0,,0,1977,1987,11,23-33,959,3014,2690,318,668,97,23,39,261,205,13,387,14,86,19,26,54,33,0.248,0.303,0.345,0.648
Dale,Berra,0,,0,1977,1987,11,20-30,853,2835,2553,236,603,109,9,49,278,210,57,422,12,33,27,54,32,17,0.236,0.294,0.344,0.638
Garth,Iorg,0,,0,1978,1987,10,23-32,931,2615,2450,251,633,125,16,20,238,114,9,298,11,21,19,55,23,17,0.258,0.292,0.347,0.639
Toby,Harrah,4,,0,1969,1986,18,20-37,2155,8766,7402,1115,1954,307,40,195,918,1153,51,868,63,76,72,155,238,94,0.264,0.365,0.395,0.76
Bobby,Grich,5,,0,1970,1986,17,21-37,2008,8220,6890,1033,1833,320,47,224,864,1087,50,1278,86,107,50,157,104,83,0.266,0.371,0.424,0.795
Cesar,Cedeno,4,,0,1970,1986,17,19-35,2006,8133,7310,1084,2087,436,60,199,976,664,83,938,56,32,71,167,550,179,0.285,0.347,0.443,0.79
Dusty,Baker,2,,0,1968,1986,19,19-37,2039,8021,7117,964,1981,320,23,242,1013,762,52,926,30,27,85,158,137,73,0.278,0.347,0.432,0.779
Bill,Russell,3,,0,1969,1986,18,20-37,2181,8020,7318,796,1926,293,57,46,627,483,106,667,36,132,51,174,167,69,0.263,0.31,0.338,0.648
George,Foster,5,,0,1969,1986,18,20-37,1977,7812,7023,986,1925,307,47,348,1239,666,106,1419,52,3,68,196,51,31,0.274,0.338,0.48,0.818
Dave,Kingman,3,,0,1971,1986,16,22-37,1941,7429,6677,901,1575,240,25,442,1210,608,72,1816,53,16,75,139,85,49,0.236,0.302,0.478,0.78
Garry,Maddox,0,,0,1972,1986,15,22-36,1749,6775,6331,777,1802,337,62,117,754,323,60,781,36,25,60,99,248,92,0.285,0.32,0.413,0.733
Ben,Oglivie,3,,0,1971,1986,16,22-37,1754,6598,5913,784,1615,277,33,235,901,560,105,852,35,21,69,122,87,70,0.273,0.336,0.45,0.786
